,0
758,교사
759,태도
760,연구
761,지체
762,장애
763,특수
764,학교
765,학급
766,복수
767,학교
768,교육과정
769,운영
770,실태
771,개선
772,방안
773,특수
774,학교
775,등교
776,사의
777,교육평가
778,실태
779,문제점
780,개선
781,방안
782,장애인
783,특수교육
784,실태
785,개선
786,방안
787,연구
788,정신지체
789,직업
790,교육
791,훈련
792,과정
793,연구
794,지역
795,사회
796,장애인
797,복지관
798,특수
799,학교
800,중심
801,유치원
802,특수교육
803,보조
804,원제
805,운영
806,질적연구
807,특수
808,조기교육
809,기관
810,교사
811,인식
812,있는
813,운영
814,실태
815,개선
816,방안
817,특수교육
818,보조
819,활용
820,실태
821,통합교육
822,바람직한
823,역할
824,탐색
825,특수교육
826,보조
827,제도
828,인식
829,연구
830,특수
831,학교
832,중심
833,특수교육
834,센터
835,특수교육
836,관련
837,서비스
838,대한
839,장애
840,유아
841,부모
842,인식
843,요구
844,조사
845,통합교육
846,촉진
847,통합
848,학급
849,교사
850,특수
851,학급
852,교사
853,협력
854,정도
855,개선
856,방안
857,장애
858,유아
859,특수교육
860,제도
861,고찰
862,유아
863,특수
864,교사
865,실천
866,지식
867,기초
868,주제
869,중심
870,통합
871,교육과정
872,수정
873,적용
874,지침
875,개발
876,성적
877,장학
878,유아
879,통합교육
880,교사
881,놀이
882,교수
883,실제
884,특수
885,유아
886,놀이
887,발달
888,미치는
889,영향
890,특수교육
891,실무
892,사의
893,직무
894,만족도
895,직무
896,스트레스
897,간의
898,관계
899,초등학교
900,특수교육
901,보조
902,제도
903,인식
904,정부
905,지원
906,특수교육
907,보조
908,중심
909,중등
910,특수교육
911,기관
912,전환
913,교육
914,실태
915,개선
916,방안
917,연구
918,전남
919,지역
920,중심
921,경상남도
922,특수교육
923,재정
924,지원
925,대한
926,교직원
927,인식
928,만족도
929,조사
930,특수
931,학교
932,중등
933,발달장애
934,학생
935,전환
936,교육
937,실태
938,특수
939,교사
940,인식
941,정신지체
942,정서장애
943,특수
944,학교
945,진로
946,교육
947,실태
948,교사
949,인식
950,조사
951,인천
952,지역
953,중도
954,중복
955,장애
956,학급
957,학생
958,통합교육
959,실태
960,특수
961,교사
962,일반
963,교사
964,학부모
965,만족도
966,조사
967,시각
968,청각
969,지체
970,부자유
971,특수
972,학교
973,학생
974,대학
975,진학
976,활성화
977,등부
978,교육과정
979,운영
980,실태
981,교사
982,학생
983,지원
984,요구
985,조사
986,과학
987,탐구
988,수업
989,대한
990,초등
991,특수교육
992,교사
993,자아개념
994,교수
995,불안
996,특성
997,유아
998,특수
999,학교
1000,학교
1001,수준
1002,교육과정
1003,개발
1004,대한
1005,교사
1006,인식
1007,연구
1008,한국
1009,특수교육
1010,학회
1011,학술지
1012,변화
1013,과정
1014,연구
1015,동향
1016,분석
1017,특수
1018,학교
1019,유치부
1020,개별
1021,교육
1022,계획
1023,운영
1024,현황
1025,구조사
1026,청각장애
1027,특수
1028,학교
1029,교사
1030,활용
1031,교육
1032,실태
1033,인식
1034,연구
1035,고등학교
1036,유형
1037,특수
1038,학급
1039,진로
1040,교육
1041,운영
1042,실태
1043,개선
1044,방안
1045,특수교육
1046,센터
1047,운영
1048,현황
1049,요구
1050,조사
1051,특수교육
1052,대상자
1053,배치
1054,계획
1055,분석
1056,연구
1057,학부모
1058,특수교육
1059,기관
1060,선택
1061,요인
1062,분석
1063,중심
1064,수학
1065,영재교육
1066,대상자
1067,관찰
1068,추천
1069,사용
1070,특수
1071,학업
1072,적성
1073,체크
1074,리스트
1075,실효
1076,연구
1077,인근
1078,지역
1079,특수
1080,학급
1081,교육과정
1082,공동
1083,편성
1084,운영
1085,활성화
1086,개선
1087,방안
1088,인천
1089,지역
1090,초등
1091,특수
1092,학급
1093,교사
1094,특수교육
1095,보조
1096,관리
1097,감독
1098,실태
1099,연구
1100,영미
1101,특수교육
1102,관련
1103,법규
1104,분석
1105,통한
1106,우리나라
1107,통합교육
1108,고찰
1109,고등학교
1110,특수
1111,학급
1112,진로
1113,직업
1114,교육
1115,실태
1116,특수
1117,교사
1118,인식
1119,연구
1120,장애인
1121,대한
1122,특수
1123,교육법
1124,중심
1125,정신지체
1126,특수
1127,학교
1128,직업
1129,교육
1130,연구
1131,경향
1132,분석
1133,중학교
1134,특수
1135,학급
1136,영어
1137,교육
1138,실태
1139,연구
1140,정서
1141,행동
1142,장애
1143,아동
1144,대한
1145,교사
1146,학부모
1147,특수교육
1148,지원
1149,센터
1150,지원
1151,인식
1152,연구
1153,지체
1154,장애
1155,특수
1156,학교
1157,교육과정
1158,편성
1159,운영
1160,실제
1161,개선
1162,요구
1163,특수교육
1164,대상
1165,학생
1166,방학
1167,계절
1168,학교
1169,참여
1170,실태
1171,조사
1172,연구
1173,특수교육
1174,보조
1175,특수
1176,학교
1177,배치
1178,공익
1179,근무
1180,요원
1181,대한
1182,특수
1183,교사
1184,만족도
1185,분석
1186,시를
1187,중심
1188,특수
1189,학급
1190,학급
1191,장애
1192,아동
1193,교육
1194,질적
1195,연구
1196,통합교육
1197,성공
1198,열쇠
1199,있는
1200,사람
1201,국악
1202,치료
1203,교육
1204,특수
1205,아동
1206,자아
1207,효능
1208,자아존중감
1209,미치는
1210,효과
1211,연구
1212,유색
1213,악보
1214,중심
1215,특수
1216,체육
1217,교육
1218,전공
1219,대학생
1220,교육
1221,신념
1222,가치
1223,정향
1224,연구
1225,특수교육
1226,학생
1227,교육
1228,기회
1229,평등
1230,분석
1231,특수
1232,목적
1233,프랑스어
1234,교육
1235,성악
1236,전공
1237,학습자
1238,프랑스어
1239,교육
1240,중심
1241,장애
1242,이해
1243,관련
1244,동화
1245,활동
1246,특수교육
1247,대상
1248,유아
1249,대한
1250,일반
1251,또래
1252,유아
1253,인식
1254,태도
1255,미치는
1256,영향
1257,장애
1258,학생
1259,초등학교
1260,일반
1261,중학교
1262,전환
1263,교육
1264,전환
1265,기술
1266,서울
1267,지역
1268,고학년
1269,특수
1270,교사
1271,통합
1272,학급
1273,교사
1274,인식
1275,교수
1276,실태
1277,특수교육
1278,보조
1279,직무
1280,성취
1281,이직
1282,의도
1283,미치는
1284,영향
1285,직무
1286,만족도
1287,매개
1288,효과
1289,중심
1290,특수교육
1291,보조
1292,원제
1293,운영
1294,대한
1295,특수
1296,교사
1297,특수교육
1298,보조
1299,인식
1300,특성
1301,교과
1302,교육과정
1303,구성
1304,특수
1305,학교
1306,지적장애
1307,중학생
1308,직업
1309,준비
1310,능력
1311,미치는
1312,영향
1313,경기도
1314,화성
1315,지역
1316,중심
1317,특수교육
1318,기본
1319,교육과정
1320,사회
1321,세계
1322,시민
1323,교육
1324,내용
1325,분석
1326,유치원
1327,과정
1328,특수교육
1329,대상자
1330,의무교육
1331,대한
1332,사립
1333,유치원
1334,관리자
1335,교사
1336,인식
1337,초등
1338,특수
1339,아동
1340,국악
1341,교육
1342,연구
1343,표현
1344,요법
1345,중심
1346,초등
1347,특수
1348,학급
1349,교사
1350,교육과정
1351,변화
1352,대한
1353,태도
1354,운영
1355,실태
1356,면담
1357,연구
1358,특수
1359,학급
1360,아동
1361,통합교육
1362,대한
1363,교사
1364,의식
1365,수준
1366,개선
1367,방안
1368,장애인
1369,대한
1370,특수
1371,교육법
1372,교사
1373,학부모
1374,인식
1375,만족도
1376,조사
1377,정신지체
1378,특수
1379,학교
1380,학생
1381,음악
1382,교육
1383,학습지도
1384,연구
1385,등부
1386,과정
1387,중심
1388,고등학교
1389,특수
1390,학급
1391,직업
1392,위탁
1393,교육
1394,실태
1395,교사
1396,인식
1397,지원
1398,요구
1399,통합교육
1400,분리
1401,교육
1402,대한
1403,장애
1404,학생
1405,학부모
1406,인식
1407,연구
1408,서울시
1409,특수
1410,학교
1411,중심
1412,특수
1413,학교
1414,통합교육
1415,강화
1416,재정
1417,시설
1418,지원
1419,방안
1420,연구
1421,예비
1422,특수
1423,교사
1424,교육학
1425,내용
1426,지식
1427,변화
1428,실행
1429,연구
1430,교육실습
1431,국어
1432,수업
1433,중심
1434,직무
1435,분석
1436,기반
1437,특수
1438,목적
1439,영어
1440,교육
1441,모형
1442,개발
1443,댄스
1444,지도자
1445,영어
1446,교육
1447,중심
1448,특수교육
1449,지원
1450,센터
1451,영아
1452,운영
1453,실태
1454,발전
1455,방향
1456,서울
1457,지역
1458,중심
1459,장애
1460,유아
1461,배경
1462,변인
1463,유아
1464,특수교육
1465,기관
1466,선택
1467,차이
1468,분석
1469,장애
1470,유아
1471,통합교육
1472,대한
1473,학부모
1474,인식
1475,요구
1476,조사
1477,공립
1478,유치원
1479,특수
1480,학급
1481,특수
1482,학교
1483,유치부
1484,부모
1485,중심
1486,지역
1487,사회
1488,중심
1489,특수교육
1490,관련
1491,서비스
1492,연구
1493,특수
1494,학급
1495,아동
1496,통합교육
1497,대한
1498,교사
1499,태도
1500,통합교육
1501,실행
1502,교사
1503,협력
1504,관계
1505,대한
1506,통합
1507,학급
1508,교사
1509,특수
1510,교사
1511,인식
1512,차이
1513,연구
1514,예비
1515,유치원교사
1516,예비
1517,특수
1518,교사
1519,통합교육
1520,대한
1521,인식
1522,비교
1523,연구
1524,초등학교
1525,특수교육
1526,대상
1527,아동
1528,통합교육
1529,효율
1530,방안
1531,통합
1532,학급
1533,교사
1534,특수교육
1535,담당
1536,장학사
1537,대한
1538,이미지
1539,분석
1540,특수
1541,학교
1542,유치부
1543,교육과정
1544,편성
1545,운영
1546,대한
1547,조사
1548,초등학교
1549,특수
1550,학급
1551,교사
1552,학급
1553,운영
1554,교육
1555,과정
1556,인식
1557,특수교육
1558,진흥
1559,장애인
1560,대한
1561,특수
1562,교육법
1563,변화
1564,교육학
1565,의미
1566,분석
1567,고등학교
1568,경도
1569,장애
1570,학생
1571,전이
1572,프로그램
1573,구성요소
1574,중요도
1575,대한
1576,인식
1577,비교
1578,특수교육
1579,전문가
1580,특수
1581,교사
1582,장애
1583,학생
1584,부모
1585,중심
1586,생활
1587,중심
1588,진로
1589,교육
1590,고등학교
1591,특수
1592,학급
1593,학생
1594,사회
1595,능력
1596,미치는
1597,효과
1598,특수교육
1599,보조
1600,운용
1601,대한
1602,특수
1603,교사
1604,특수교육
1605,보조
1606,인식
1607,비교
1608,장애
1609,영역
1610,학교
1611,특수교육
1612,대상자
1613,부모
1614,특수교육
1615,대한
1616,의견
1617,조사
1618,인천
1619,지역
1620,특수교육
1621,대상자
1622,부모
1623,중심
1624,특수
1625,학교
1626,중등
1627,방과후
1628,교육활동
1629,운영
1630,실태
1631,개선
1632,방안
1633,통합교육
1634,예비
1635,초등
1636,교사
1637,예비
1638,초등
1639,특수
1640,교사
1641,인식
1642,특수교육
1643,초등학교
1644,교육과정
1645,다문화
1646,교육
1647,내용
1648,분석
1649,고든
1650,오디
1651,에이
1652,활동
1653,특수교육
1654,대상
1655,학생
1656,음악
1657,감수성
1658,태도
1659,미치는
1660,영향
1661,특수
1662,학급
1663,설치
1664,소규모
1665,중학교
1666,통합교육
1667,사례
1668,연구
1669,중학교
1670,특수
1671,학급
1672,교육과정
1673,편성
1674,운영
1675,실태
1676,개선
1677,방안
1678,광주
1679,광역시
1680,전라남도
1681,중학교
1682,중심
1683,특수
1684,교사
1685,특수교육
1686,기본
1687,교육과정
1688,여가
1689,활용
1690,교과서
1691,대한
1692,만족도
1693,조사
1694,통합교육
1695,현장
1696,근무
1697,특수
1698,체육교사
1699,교직
1700,적응
1701,탐색
1702,특수
1703,학교
1704,체육교사
1705,특수교육
1706,지원
1707,센터
1708,체육교사
1709,비교
1710,장애
1711,학생
1712,공격
1713,행동
1714,관련
1715,특수교육
1716,교사
1717,스트레스
1718,지원
1719,요구
1720,장애
1721,학생
1722,공격
1723,행동
1724,관련
1725,특수교육
1726,교사
1727,스트레스
1728,지원
1729,요구
1730,한국
1731,네팔
1732,특수교육
1733,현황
1734,비교
1735,연구
1736,특수
1737,체육
1738,교육
1739,전공
1740,대학생
1741,만족도
1742,교육
1743,신념
1744,연구
1745,장애인
1746,대한
1747,특수
1748,교육법
1749,정책
1750,의제
1751,설정
1752,과정
1753,연구
1754,특수
1755,체육
1756,체육
1757,교육과정
1758,비교
1759,유치원
1760,특수
1761,학급
1762,개별
1763,교육
1764,지원
1765,운영
1766,실태
1767,유아
1768,특수
1769,교사
1770,인식
1771,연구
1772,정신지체
1773,특수
1774,학교
1775,부모
1776,교육
1777,모형
1778,개발
1779,광주
1780,전남
1781,지역
1782,정신지체
1783,특수
1784,학교
1785,중심
1786,고등학교
1787,특수
1788,학급
1789,진로
1790,직업
1791,교육
1792,현황
1793,개선
1794,방안
1795,대한
1796,탐색
1797,연구
1798,서울
1799,지역
1800,특수
1801,학급
1802,교사
1803,면담
1804,자료
1805,중심
1806,초등학교
1807,학습장애
1808,선정
1809,조건
1810,절차
1811,인식
1812,연구
1813,일반
1814,교사
1815,특수
1816,교사
1817,교육행정
1818,집단
1819,인터뷰
1820,방법
1821,실업계
1822,고등학교
1823,특수
1824,학생
1825,직업
1826,교육
1827,연구
1828,특수교육
1829,기관
1830,전환
1831,교육
1832,프로그램
1833,실행
1834,수준
1835,연구
1836,현장
1837,종사
1838,중심
1839,특수
1840,학급
1841,특수
1842,학교
1843,학부모
1844,중학교
1845,방과
1846,교육활동
1847,인식
1848,비교
1849,특수교육
1850,대상
1851,유아
1852,아버지
1853,가족
1854,지원
1855,대한
1856,경험
1857,가족
1858,지원
1859,대한
1860,인식
1861,요구
1862,중심
1863,특수교육
1864,대상
1865,학생
1866,문학
1867,기반
1868,국어교육
1869,실행
1870,연구
1871,초등
1872,특수
1873,학급
1874,사례
1875,중심
1876,특수
1877,체육
1878,지도자
1879,스페셜올림픽
1880,참여
1881,교육
1882,신념
1883,연구
1884,서울
1885,시내
1886,정신지체
1887,특수
1888,학교
1889,등부
1890,미술
1891,교육
1892,현황
1893,분석
1894,중등
1895,특수
1896,학급
1897,안전교육
1898,운영
1899,실태
1900,특수
1901,교사
1902,인식
1903,특수
1904,학교
1905,유치부
1906,통합교육
1907,대한
1908,일반
1909,유아
1910,가족
1911,교사
1912,인식
1913,특수교육
1914,보조
1915,활용
1916,실태
1917,효과
1918,대한
1919,통합
1920,학급
1921,교사
1922,인식
1923,요구
1924,분석
1925,장애
1926,유아
1927,통합교육
1928,특수
1929,교사
1930,협력
1931,현황
1932,기대
1933,교사
1934,장애
1935,학생
1936,이해
1937,특수
1938,미술
1939,교육
1940,실태
1941,연구
1942,통합교육
1943,특수교육
1944,양상
1945,대한
1946,질적연구
1947,특수
1948,유아
1949,종교
1950,교육
1951,제안
1952,비고츠키
1953,사회
1954,관계성
1955,이론
1956,중심
1957,정신지체
1958,특수
1959,학교
1960,중등
1961,음악
1962,교과
1963,교육
1964,운영
1965,실태
1966,인식
1967,한국
1968,중국
1969,특수
1970,교육법
1971,비교
1972,특수교육
1973,정책
1974,영향
1975,요인
1976,연구
1977,일반
1978,학급
1979,주도
1980,경도
1981,장애
1982,통합교육
1983,교사
1984,특수교육
1985,인식
1986,가족
1987,참여
1988,자기
1989,결정
1990,교수
1991,학습
1992,모델
1993,적용
1994,행동
1995,중학교
1996,특수
1997,학급
1998,학생
1999,수업
2000,참여
2001,행동
2002,국어
2003,교육
2004,목표
2005,성취도
2006,미치는
2007,영향
2008,특수
2009,아동
2010,통합교육
2011,사회
2012,기술
2013,연구
2014,사회
2015,행동
2016,평가
2017,대한
2018,초등학교
2019,교사
2020,견해
2021,중심
2022,유아
2023,특수교육
2024,기관
2025,교육평가
2026,실제
2027,대한
2028,연구
2029,교사
2030,인식
2031,중심
2032,유아
2033,특수
2034,교육과정
2035,운영
2036,대한
2037,탐색
2038,연구
2039,교사
2040,인식
2041,중심
2042,초등
2043,특수교육
2044,대상
2045,학생
2046,방과후
2047,특기
2048,적성
2049,교육
2050,실태
2051,특수
2052,교사
2053,인식
2054,바리스타
2055,교육
2056,활용
2057,장애
2058,학생
2059,주도
2060,또래
2061,교수
2062,고등학교
2063,특수
2064,학급
2065,학생
2066,자아존중감
2067,장애
2068,학생
2069,장애
2070,학생
2071,수용
2072,태도
2073,미치는
2074,영향
2075,고등학교
2076,특수
2077,학급
2078,영어
2079,교육
2080,실태
2081,개선
2082,방안
2083,연구
2084,초등학교
2085,특수교육
2086,대상자
2087,선정
2088,과정
2089,실태
2090,개선
2091,요구
2092,특수
2093,학급
2094,교사
2095,인식
2096,분석
2097,청각장애
2098,특수
2099,학교
2100,개별
2101,교육
2102,계획
2103,수립
2104,운영
2105,대한
2106,질적
2107,연구
2108,특수
2109,조기교육
2110,교사
2111,직무
2112,만족도
2113,연구
2114,서울
2115,시내
2116,사설
2117,기관
2118,중심
2119,통합교육
2120,운영
2121,중학교
2122,교사
2123,특수
2124,교사
2125,인식
2126,비교
2127,특수교육
2128,보조
2129,운용
2130,대한
2131,특수
2132,교사
2133,공익
2134,근무
2135,요원
2136,인식
2137,비교
2138,광주
2139,광역시
2140,중심
2141,유아
2142,특수교육
2143,실습
2144,실태
2145,조사
2146,정신지체
2147,학교
2148,특수교육
2149,교사
2150,자아개념
2151,직무
2152,스트레스
2153,특수교육
2154,정책
2155,평가
2156,연구
2157,특수교육
2158,발전
2159,개년
2160,계획
2161,중심
2162,특수
2163,학급
2164,학생
2165,과학
2166,교과
2167,교육
2168,실태
2169,조사
2170,통합교육
2171,특수
2172,교사
2173,인식
2174,연구
2175,특수
2176,학교
2177,중등
2178,기술
2179,가정
2180,교과
2181,교육
2182,실태
2183,조사
2184,특수
2185,학급
2186,정신지체
2187,아동
2188,치료
2189,미술
2190,교육
2191,프로그램
2192,개발
2193,점토
2194,활용
2195,미술
2196,치료
2197,기법
2198,중심
2199,특수
2200,학교
2201,전공
2202,교사
2203,전문
2204,교과
2205,교육과정
2206,운영
2207,경험
2208,연구
2209,수도권
2210,특수
2211,학교
2212,전공
2213,운영
2214,사례
2215,중심
2216,청각장애
2217,거점
2218,특수교육
2219,지원
2220,센터
2221,업무
2222,담당자
2223,경험
2224,운영
2225,상의
2226,어려움
2227,요구
2228,유아
2229,특수교육
2230,기관
2231,유형
2232,가족
2233,지원
2234,서비스
2235,대한
2236,발달
2237,지체
2238,유아
2239,어머니
2240,욕구
2241,조사
2242,유아교육
2243,유아
2244,특수교육
2245,현장
2246,요구
2247,대한
2248,대학교육
2249,프로그램
2250,준비
2251,유아교육
2252,유아
2253,특수교육
2254,학생
2255,인식
2256,중심
2257,장애
2258,청소년
2259,전환
2260,교육
2261,관점
2262,특수
2263,학교
2264,체육
2265,교육과정
2266,내용
2267,분석
2268,한국
2269,특수교육
2270,정책
2271,발전
2272,과정
2273,연구
2274,특수
2275,학교
2276,기본
2277,교육과정
2278,음악
2279,교과
2280,편성
2281,운영
2282,실태
2283,일본어
2284,발음
2285,교육
2286,특수
2287,음소
2288,리듬
2289,중심
2290,특수교육
2291,대상
2292,학생
2293,문제
2294,행동
2295,기능
2296,대한
2297,특수
2298,교사
2299,등교
2300,사의
2301,인식
2302,비교
2303,연구
2304,일반
2305,교사
2306,과정
2307,특수교육
2308,관련
2309,교과목
2310,교직
2311,소양
2312,과목
2313,운영
2314,실태
2315,교육활동
2316,특수
2317,학급
2318,아동
2319,인지
2320,정의
2321,영역
2322,미치는
2323,효과
2324,장애인
2325,부모
2326,단체
2327,발전
2328,활동
2329,특수교육
2330,학적
2331,고찰
2332,개정
2333,특수교육
2334,기본
2335,교육과정
2336,중학교
2337,성교육
2338,관련
2339,교과
2340,내용
2341,분석
2342,유치원
2343,특수교육
2344,대상자
2345,의무교육
2346,시행
2347,대한
2348,유치원
2349,교사
2350,인식
2351,특수
2352,아동
2353,부모
2354,특수교육
2355,관련
2356,서비스
2357,대한
2358,인식
2359,특성
2360,개정
2361,특수
2362,학교
2363,기본
